Age,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981
0,0.003536,0.003547,0.003488,0.003515,0.003483,0.003571,0.003595,0.003785,0.003973,0.004143,0.004244,0.004366,0.004443,0.004554,0.004652,0.004711,0.004819,0.004879,0.005044,0.005034,0.005101,0.005209,0.005353,0.005405,0.005482,0.005584,0.005894,0.006301,0.006804,0.007259,0.007607,0.007885,0.008094,0.008282,0.008557,0.008972,0.009319,0.009944
1,0.000213,0.000224,0.000232,0.000246,0.000256,0.000257,0.000288,0.000291,0.000286,0.000292,0.000299,0.000352,0.00037,0.000384,0.000379,0.000375,0.000366,0.000342,0.000352,0.000378,0.000402,0.000413,0.000425,0.000454,0.00046,0.000477,0.000511,0.000564,0.000588,0.000584,0.000599,0.00063,0.000699,0.000705,0.000702,0.000666,0.000685,0.000724
2,0.000127,0.000127,0.00014,0.000137,0.000134,0.000131,0.000136,0.000134,0.000163,0.000178,0.000191,0.000192,0.00018,0.000186,0.000196,0.000204,0.00021,0.000188,0.000225,0.000242,0.000268,0.000265,0.000253,0.000266,0.000261,0.000291,0.000313,0.000311,0.000326,0.000338,0.000377,0.000387,0.000381,0.000377,0.000384,0.000412,0.000437,0.000447
3,0.000098,0.000098,0.000097,0.000105,0.00011,0.000114,0.000113,0.00012,0.000132,0.000154,0.000161,0.000161,0.000147,0.000146,0.000152,0.000149,0.000159,0.000165,0.000183,0.000179,0.000172,0.000167,0.000174,0.000179,0.000203,0.000216,0.000224,0.000232,0.000254,0.000294,0.000302,0.000296,0.000286,0.000276,0.000276,0.000263,0.000286,0.000305
4,0.000068,0.000073,0.000083,0.000081,0.000083,0.000087,0.000096,0.000097,0.000111,0.000119,0.000121,0.000117,0.000104,0.000116,0.000123,0.000146,0.000149,0.000151,0.000137,0.000123,0.000116,0.000121,0.000133,0.000138,0.000151,0.000153,0.000177,0.000178,0.000214,0.00022,0.000234,0.000232,0.000221,0.000229,0.00024,0.000252,0.000261,0.000254
5,0.000086,0.000081,0.000069,0.000067,0.000072,0.000087,0.000089,0.000091,0.000091,0.000096,0.000099,0.000095,0.000092,0.000096,0.000103,0.000114,0.000121,0.000121,0.000122,0.000122,0.000126,0.000137,0.000148,0.00015,0.000156,0.000146,0.000155,0.000147,0.000169,0.000168,0.000183,0.000177,0.000185,0.000193,0.00021,0.000219,0.000221,0.000235
6,0.000082,0.000075,0.000073,0.000074,0.000075,0.000081,0.000079,0.000083,0.00008,0.000083,0.000087,0.000096,0.000101,0.000109,0.000107,0.000112,0.000117,0.000115,0.000116,0.000119,0.000126,0.00013,0.000127,0.00013,0.000135,0.000144,0.000154,0.000156,0.000158,0.00016,0.000162,0.00017,0.000184,0.000197,0.000212,0.000208,0.000217,0.000222
7,0.000062,0.000061,0.000068,0.000074,0.000079,0.000079,0.000065,0.000069,0.000066,0.000083,0.000083,0.00008,0.000082,0.000083,0.000088,0.000085,0.000096,0.000096,0.000097,0.000099,0.000108,0.000105,0.000103,0.000097,0.000108,0.000114,0.000136,0.000141,0.000143,0.000146,0.000146,0.000151,0.000147,0.000167,0.000173,0.00018,0.000186,0.000187
8,0.000064,0.00006,0.000062,0.00006,0.000071,0.000069,0.000069,0.00008,0.000079,0.000086,0.000074,0.000088,0.00008,0.000085,0.000081,0.000091,0.000108,0.000109,0.000111,0.000096,0.000096,0.000092,0.000094,0.000094,0.000098,0.000112,0.000125,0.000137,0.000134,0.000139,0.000134,0.000139,0.000142,0.000151,0.000164,0.000174,0.000179,0.0002
9,0.000053,0.000062,0.00006,0.000069,0.000066,0.000066,0.000062,0.000066,0.000082,0.000097,0.000096,0.000076,0.000069,0.000068,0.000086,0.000086,0.000095,0.000089,0.00009,0.000095,0.000106,0.000118,0.000111,0.000109,0.000106,0.000122,0.000137,0.000144,0.000146,0.000127,0.000136,0.000138,0.000184,0.000188,0.000191,0.000155,0.000156,0.000156
