Age,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981
0,0.004267,0.004201,0.004275,0.004225,0.004287,0.004352,0.004622,0.004722,0.004899,0.004993,0.005232,0.005343,0.005507,0.005576,0.005683,0.005768,0.005909,0.006025,0.006179,0.006282,0.006395,0.006541,0.006722,0.006849,0.006912,0.007084,0.007575,0.008176,0.008903,0.009537,0.010035,0.01049,0.010572,0.010695,0.010849,0.011491,0.01213,0.012815
1,0.000243,0.000257,0.000271,0.000306,0.000321,0.00033,0.000333,0.000334,0.000331,0.000336,0.000363,0.000392,0.000401,0.000408,0.000406,0.000431,0.000424,0.000438,0.000456,0.000487,0.000515,0.000512,0.000496,0.000502,0.000517,0.000545,0.000592,0.000638,0.000688,0.000705,0.000703,0.000697,0.00071,0.000764,0.000787,0.000831,0.000822,0.000869
2,0.000132,0.000139,0.000154,0.000163,0.00017,0.000177,0.000187,0.000192,0.000194,0.000188,0.000218,0.000234,0.000259,0.000242,0.000248,0.000255,0.000262,0.00027,0.000283,0.000307,0.000316,0.000314,0.000305,0.000307,0.000335,0.00035,0.000375,0.00039,0.000433,0.00045,0.000454,0.000441,0.000464,0.000465,0.000474,0.000463,0.00049,0.000528
3,0.000101,0.000114,0.00012,0.000127,0.000123,0.000116,0.00011,0.000124,0.000127,0.000143,0.000155,0.00017,0.00018,0.000183,0.000206,0.000195,0.000183,0.000172,0.000194,0.000212,0.00022,0.000218,0.000227,0.00023,0.000247,0.000253,0.000291,0.000308,0.00034,0.000348,0.000346,0.00035,0.000366,0.0004,0.000396,0.000394,0.00039,0.000401
4,0.000097,0.000099,0.000102,0.00009,0.000099,0.000098,0.000108,0.000106,0.000099,0.000106,0.00012,0.000133,0.00013,0.000125,0.000137,0.000159,0.000171,0.000173,0.000172,0.000178,0.000189,0.000201,0.000191,0.000195,0.0002,0.000234,0.000235,0.000245,0.000249,0.000264,0.000273,0.000276,0.00029,0.000277,0.000295,0.000297,0.000346,0.000381
5,0.000085,0.000093,0.000092,0.000092,0.000086,0.000098,0.000105,0.00011,0.00011,0.000119,0.000124,0.000128,0.000118,0.000112,0.000118,0.000123,0.000134,0.000129,0.000135,0.000144,0.000156,0.000163,0.000168,0.00016,0.000163,0.000177,0.000209,0.000229,0.000246,0.000248,0.000254,0.000248,0.000253,0.000256,0.000271,0.000277,0.000294,0.000315
6,0.000088,0.00008,0.000078,0.000091,0.000091,0.000093,0.000088,0.0001,0.000104,0.000112,0.000113,0.000112,0.000119,0.000119,0.000132,0.000123,0.000131,0.000142,0.000149,0.000151,0.000144,0.000142,0.000151,0.000157,0.000171,0.000174,0.000186,0.00021,0.000219,0.000229,0.000226,0.000222,0.000213,0.00022,0.00025,0.000273,0.000295,0.000298
7,0.000069,0.000077,0.000083,0.000085,0.000097,0.00009,0.000089,0.000077,0.000078,0.000086,0.000093,0.000099,0.000091,0.000093,0.000097,0.000106,0.000117,0.000125,0.000132,0.000146,0.000146,0.000135,0.000123,0.000135,0.000151,0.000169,0.000184,0.000188,0.00021,0.000222,0.000225,0.00022,0.00023,0.000256,0.000265,0.000252,0.000259,0.000277
8,0.000067,0.000071,0.00007,0.000066,0.000072,0.000083,0.000093,0.000105,0.000104,0.000112,0.000117,0.000123,0.000112,0.000112,0.000106,0.000108,0.000105,0.000109,0.000117,0.000125,0.000145,0.000144,0.000152,0.000156,0.000175,0.000174,0.000178,0.000186,0.000197,0.000215,0.000217,0.000221,0.000203,0.000217,0.00023,0.000251,0.000252,0.00027
9,0.000059,0.000065,0.000078,0.000085,0.000087,0.00009,0.00009,0.000103,0.0001,0.000099,0.000098,0.000118,0.000115,0.000117,0.000108,0.000122,0.000113,0.000118,0.000114,0.000129,0.000131,0.000144,0.000157,0.000162,0.000166,0.000161,0.000179,0.00018,0.000189,0.000188,0.000188,0.000184,0.00018,0.000195,0.000223,0.000236,0.000239,0.000242
10,0.000074,0.000076,0.000078,0.000094,0.000097,0.000095,0.000087,0.00009,0.000084,0.000095,0.000088,0.000102,0.000102,0.000118,0.000109,0.000104,0.000115,0.00013,0.000141,0.000138,0.000148,0.000146,0.000163,0.000149,0.000165,0.000157,0.000175,0.00018,0.000192,0.000203,0.000196,0.000191,0.000199,0.000229,0.000233,0.000231,0.000227,0.000234
11,0.000085,0.000086,0.000091,0.0001,0.000094,0.000094,0.000088,0.000098,0.000094,0.000097,0.000105,0.000116,0.000132,0.000125,0.00012,0.000128,0.000141,0.000139,0.000133,0.000144,0.000157,0.000166,0.000159,0.000166,0.000176,0.000184,0.000183,0.000186,0.000199,0.000217,0.000215,0.000215,0.00024,0.000256,0.000273,0.000262,0.000265,0.000266
12,0.000105,0.000099,0.000095,0.000095,0.000099,0.000109,0.000109,0.00011,0.000106,0.000103,0.000111,0.000117,0.000141,0.000146,0.000158,0.000142,0.000155,0.000156,0.000177,0.000167,0.000178,0.000183,0.000196,0.000212,0.000215,0.000223,0.000203,0.000198,0.000198,0.000212,0.000226,0.000217,0.000226,0.000241,0.000264,0.000266,0.000265,0.000258
13,0.000127,0.00011,0.000107,0.000101,0.000118,0.000115,0.000107,0.000095,0.000107,0.000117,0.000139,0.000158,0.000178,0.00017,0.000168,0.000179,0.0002,0.000191,0.000177,0.000179,0.000191,0.000209,0.000213,0.000217,0.000223,0.000222,0.000244,0.000255,0.000257,0.000276,0.000299,0.000305,0.000296,0.000268,0.000282,0.000278,0.000302,0.000295
14,0.000121,0.000133,0.000118,0.000125,0.00012,0.000131,0.000129,0.000128,0.000133,0.000138,0.000164,0.000181,0.000196,0.000195,0.000201,0.000215,0.000229,0.000224,0.000223,0.000227,0.000243,0.00026,0.00026,0.000278,0.000276,0.000277,0.000286,0.000297,0.000305,0.000302,0.000316,0.000322,0.00034,0.000346,0.000363,0.000364,0.00036,0.000369
15,0.000174,0.000178,0.000169,0.000158,0.000163,0.000147,0.000156,0.000159,0.000201,0.000214,0.00025,0.000248,0.000255,0.000259,0.000258,0.000276,0.000266,0.000268,0.00026,0.00027,0.000288,0.000316,0.000324,0.000333,0.000339,0.000349,0.000394,0.000414,0.000437,0.000406,0.000398,0.000403,0.000408,0.000419,0.000427,0.00044,0.000438,0.000416
16,0.000227,0.000233,0.00022,0.000213,0.000211,0.000215,0.000222,0.000224,0.000252,0.000294,0.000332,0.000354,0.00035,0.000345,0.000356,0.000372,0.000377,0.000391,0.000402,0.000451,0.000473,0.000465,0.000426,0.000409,0.000412,0.000434,0.000477,0.000537,0.000571,0.000555,0.000526,0.000523,0.000524,0.000532,0.000552,0.000562,0.000559,0.000538
17,0.000316,0.000318,0.000302,0.000296,0.000294,0.000308,0.000327,0.00036,0.000413,0.000471,0.000506,0.000533,0.000559,0.000572,0.000555,0.000547,0.000569,0.000587,0.000602,0.000591,0.000608,0.000626,0.000673,0.000694,0.000691,0.00068,0.0007,0.000771,0.000825,0.000855,0.000831,0.00082,0.000806,0.000802,0.000808,0.000865,0.000948,0.001035
18,0.0004,0.000406,0.000399,0.000414,0.000417,0.000444,0.000439,0.000485,0.000504,0.000565,0.000596,0.000614,0.000645,0.000662,0.000704,0.000743,0.000799,0.000822,0.000794,0.000799,0.000814,0.000857,0.00087,0.000832,0.000824,0.000795,0.000869,0.000899,0.000929,0.000908,0.000905,0.000927,0.000922,0.000909,0.000897,0.000957,0.001021,0.001095
19,0.000448,0.000449,0.000439,0.000453,0.000475,0.000477,0.000487,0.000472,0.00053,0.000579,0.000644,0.000668,0.000692,0.000689,0.000681,0.000684,0.000778,0.000831,0.000897,0.000897,0.000921,0.0009,0.000893,0.000855,0.000844,0.000824,0.000863,0.000867,0.000896,0.000879,0.000924,0.000917,0.000917,0.000907,0.000921,0.000965,0.001009,0.001052
20,0.000508,0.000482,0.000467,0.000472,0.000462,0.000466,0.000483,0.000519,0.000573,0.000649,0.000696,0.00073,0.000712,0.00074,0.00077,0.000834,0.000844,0.000841,0.000828,0.000849,0.000893,0.000887,0.000904,0.000885,0.000911,0.00087,0.000863,0.000894,0.000935,0.000977,0.000952,0.000941,0.000924,0.000931,0.000964,0.00098,0.000997,0.001001
